[Discrete(21), Discrete(21)]
There is 2 adversaries
0 good agents
1 good agents
Using good policy mmmddpg and bad policy mmmddpg with 0 adversaries
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -179.96739121472132, time: 55.701
steps: 49975, episodes: 2000, mean episode reward: -353.5925644536196, time: 65.478
steps: 74975, episodes: 3000, mean episode reward: -122.71193515924116, time: 64.792
steps: 99975, episodes: 4000, mean episode reward: -110.03206567194354, time: 65.081
steps: 124975, episodes: 5000, mean episode reward: -98.88332721197838, time: 65.063
steps: 149975, episodes: 6000, mean episode reward: -109.819759281018, time: 65.487
steps: 174975, episodes: 7000, mean episode reward: -119.35194142099787, time: 65.601
steps: 199975, episodes: 8000, mean episode reward: -104.24776404442882, time: 66.023
steps: 224975, episodes: 9000, mean episode reward: -106.8433342403519, time: 65.155
steps: 249975, episodes: 10000, mean episode reward: -105.0107941536539, time: 65.809
steps: 274975, episodes: 11000, mean episode reward: -103.88530394570668, time: 65.449
steps: 299975, episodes: 12000, mean episode reward: -105.08434930756849, time: 65.795
steps: 324975, episodes: 13000, mean episode reward: -103.97476362723727, time: 65.492
steps: 349975, episodes: 14000, mean episode reward: -102.50006367567357, time: 65.381
steps: 374975, episodes: 15000, mean episode reward: -108.29227610141626, time: 65.149
steps: 399975, episodes: 16000, mean episode reward: -109.92378205808191, time: 65.419
steps: 424975, episodes: 17000, mean episode reward: -104.72641527816205, time: 65.302
steps: 449975, episodes: 18000, mean episode reward: -100.87860210280873, time: 65.898
steps: 474975, episodes: 19000, mean episode reward: -99.1939510019524, time: 65.134
steps: 499975, episodes: 20000, mean episode reward: -103.99445562850904, time: 65.588
steps: 524975, episodes: 21000, mean episode reward: -100.38439654666563, time: 65.552
steps: 549975, episodes: 22000, mean episode reward: -102.36685506467308, time: 65.817
steps: 574975, episodes: 23000, mean episode reward: -105.30655870968822, time: 65.529
steps: 599975, episodes: 24000, mean episode reward: -109.1852119747012, time: 65.586
steps: 624975, episodes: 25000, mean episode reward: -106.12407470042174, time: 65.514
steps: 649975, episodes: 26000, mean episode reward: -107.87475664258174, time: 65.889
steps: 674975, episodes: 27000, mean episode reward: -109.89342710327418, time: 65.444
steps: 699975, episodes: 28000, mean episode reward: -109.49484581917652, time: 65.498
steps: 724975, episodes: 29000, mean episode reward: -115.19508175512507, time: 65.295
steps: 749975, episodes: 30000, mean episode reward: -116.51683061009093, time: 66.039
steps: 774975, episodes: 31000, mean episode reward: -114.3836636600581, time: 65.589
steps: 799975, episodes: 32000, mean episode reward: -117.6982641936245, time: 65.427
steps: 824975, episodes: 33000, mean episode reward: -127.01581289383127, time: 65.428
steps: 849975, episodes: 34000, mean episode reward: -126.79895276239418, time: 64.99
steps: 874975, episodes: 35000, mean episode reward: -123.43341931377357, time: 65.631
steps: 899975, episodes: 36000, mean episode reward: -137.70411510152363, time: 65.691
steps: 924975, episodes: 37000, mean episode reward: -140.6126062960067, time: 66.135
steps: 949975, episodes: 38000, mean episode reward: -140.2122269442787, time: 65.795
steps: 974975, episodes: 39000, mean episode reward: -133.54999996232124, time: 65.394
steps: 999975, episodes: 40000, mean episode reward: -138.04240432039143, time: 65.917
steps: 1024975, episodes: 41000, mean episode reward: -120.32651617478224, time: 65.945
steps: 1049975, episodes: 42000, mean episode reward: -119.40050867265917, time: 65.575
steps: 1074975, episodes: 43000, mean episode reward: -115.04671626465878, time: 65.892
steps: 1099975, episodes: 44000, mean episode reward: -124.76601351809877, time: 66.13
steps: 1124975, episodes: 45000, mean episode reward: -116.7582997608147, time: 66.434
steps: 1149975, episodes: 46000, mean episode reward: -111.14508425553748, time: 67.023
steps: 1174975, episodes: 47000, mean episode reward: -108.81858812845492, time: 66.047
steps: 1199975, episodes: 48000, mean episode reward: -104.03976696198573, time: 66.385
steps: 1224975, episodes: 49000, mean episode reward: -112.92155812224425, time: 66.5
steps: 1249975, episodes: 50000, mean episode reward: -106.41402223429176, time: 65.965
steps: 1274975, episodes: 51000, mean episode reward: -105.60508858582195, time: 66.255
steps: 1299975, episodes: 52000, mean episode reward: -109.76993845765058, time: 66.1
steps: 1324975, episodes: 53000, mean episode reward: -105.39283040897168, time: 66.506
steps: 1349975, episodes: 54000, mean episode reward: -106.88808693939707, time: 66.561
steps: 1374975, episodes: 55000, mean episode reward: -106.7298449830232, time: 66.157
steps: 1399975, episodes: 56000, mean episode reward: -103.77184947151632, time: 66.071
steps: 1424975, episodes: 57000, mean episode reward: -103.65057353067634, time: 66.109
steps: 1449975, episodes: 58000, mean episode reward: -101.34185029537974, time: 66.373
steps: 1474975, episodes: 59000, mean episode reward: -98.3275879758911, time: 66.339
steps: 1499975, episodes: 60000, mean episode reward: -101.1905515202409, time: 66.425
...Finished total of 60001 episodes.
